Path,ClassId,ShapeId,ColorId,SignId
Meta/27.png,27,0,0,1.32
Meta/0.png,0,1,0,3.29
Meta/1.png,1,1,0,3.29
Meta/10.png,10,1,0,3.27
Meta/11.png,11,0,0,1.22
Meta/12.png,12,2,2,2.3
Meta/13.png,13,4,0,2.1
Meta/14.png,14,3,0,2.2
Meta/15.png,15,1,0,3.1
Meta/16.png,16,1,0,3.3
Meta/17.png,17,1,0,3.21
Meta/18.png,18,0,0,1.39
Meta/19.png,19,0,0,1.2
Meta/2.png,2,1,0,3.29
Meta/20.png,20,0,0,1.1
Meta/21.png,21,0,0,1.3.2
Meta/22.png,22,0,0,1.1
Meta/23.png,23,0,0,1.13
Meta/24.png,24,0,0,1.5.2
Meta/25.png,25,0,0,1.37
Meta/26.png,26,0,0,1.24
Meta/28.png,28,0,0,1.33
Meta/29.png,29,0,0,1.34
Meta/3.png,3,1,0,3.29
Meta/30.png,30,0,0,None
Meta/31.png,31,0,0,1.36
Meta/32.png,32,1,3,3.42
Meta/33.png,33,1,1,4.2
Meta/34.png,34,1,1,4.3
Meta/35.png,35,1,1,4.1
Meta/36.png,36,1,1,4.4
Meta/37.png,37,1,1,4.5
Meta/38.png,38,1,1,4.7
Meta/39.png,39,1,1,4.8
Meta/4.png,4,1,0,3.29
Meta/40.png,40,1,1,4.1
Meta/41.png,41,1,3,3.26
Meta/42.png,42,1,3,3.28
Meta/5.png,5,1,0,3.29
Meta/6.png,6,1,3,3.3
Meta/7.png,7,1,0,3.29
Meta/8.png,8,1,0,3.29
Meta/9.png,9,1,0,3.25
